Respondent_ID,Q1_Role,Q2_OrgType,Q3_OrgSize,Q4_Region,Q5_AnnualRevenue,Q6_MarketingBudget,Q7_DataSources,Q8_AnalyticsTools,Q9_CampaignStrategies,Q10_SuccessMetrics,Q11_EIAwareness,Q12_EmotionalInsightRating,Q13_MarketingChallenges,Q14_CrisisFrequency,Q15_CampaignBackfire,Q16_FeatureInterest,Q17_PreferredChannels,Q18_RegionalLanguageImportance,Q19_PreferredOutputFormat,Q20_WhiteLabelInterest,Q21_CurrentSaaSSpend,Q22_PreferredPricingModel,Q23_BudgetBand,Q23_BudgetINR_Numeric,Q_DecisionStyle,Q_TechAdoptionProfile,Q_AITrustLevel,Q_EmotionalDataImportance,Q_BrandVsRevenuePriority,Q_BudgetAuthority,Q_StakeholderCount,Q_AdoptionTrigger,Q_InternalBarrier,Q_CurrentSentimentTool,Q_CurrentToolSatisfaction,Q_SwitchingIntent,Q_AdoptionBlockers,Q_AnalyticsReviewFrequency,Q_AnalyticsTeamSize,Q_DataDrivenDecisionPct,Q_CrisisResponseTime,Q_CrisisHistory,Q_CrisisImpactType,Q_AnnualCampaigns,Q_EmotionalROIMeasured,Q_RequiredIntegrations,Q_DataPrivacyConcern,Q_TeamDataLiteracy,Q24_AdoptionLikelihood,Q24_AdoptionLikelihood_Ordinal,Adoption_Score_Raw
RESP_0241,Agency Professional,Enterprise/MNC,51-200,North America,10Cr-100Cr/1.2M-12M,25L-1Cr/30K-120K,Customer Reviews|Survey/Feedback Forms|Website/App Analytics|CRM Data,Tableau/Power BI,Content Marketing|Email/WhatsApp Marketing|Community Building|PR/Earned Media|Offline/BTL Marketing,ROI/Revenue Generated|Customer Sentiment|Conversion Rate|NPS|No formal process,Very aware - already use tools,4.0,Creating emotionally resonant campaigns|Personalising messaging at scale,Rarely,Not sure - didn't track,Emotional Brand Score (EBS)|Omnichannel Sentiment Dashboard|Predictive Mood & Crisis Alerts,Instagram/Facebook|Twitter/X|WhatsApp Business|Survey/Form Responses,Extremely important,Real-time dashboard with visual charts|Weekly/Monthly automated reports,Possibly - depends on pricing,1K-10K/month,Freemium,Under 5K,0.0,Trial/testing,Early Majority - adopt proven solutions,Use AI as one input among many,5.0,,My manager/Director,2-3,A leadership directive,No significant barriers,No - couldn't afford,4.0,N/A - no current tool,Cost|Already have a solution,Monthly,2-5,0.0,Within hours,Yes - minor impact,Significant customer churn|Employee morale damage|Long-term brand equity damage|We didn't measure it,,Yes - informally,Meta Ads Manager|Shopify|Standalone is fine,Very concerned - hard blocker,Very low - need heavy hand-holding,Neutral,3,15.94
RESP_0242,Agency Professional,D2C Brand,11-50,India-Metro,10Cr-100Cr/1.2M-12M,Under 5L/<6K,Social Media|Website/App Analytics|CRM Data|Ad Performance Data,HubSpot|Salesforce|Sprout Social/Hootsuite,Performance/Paid Advertising|Content Marketing|Offline/BTL Marketing,ROI/Revenue Generated|Conversion Rate|NPS|CSAT,Very aware - already use tools,4.0,Understanding WHY customers feel the way they do|Connecting emotional data to campaign performance|Identifying at-risk customers before churn|Measuring brand reputation in real time|Justifying marketing spend to leadership|Managing brand crisis quickly,Very frequently,Not sure - didn't track,Emotional Brand Score (EBS)|Omnichannel Sentiment Dashboard|Predictive Mood & Crisis Alerts|Campaign Emotion Optimizer|Emotional Customer Segmentation,Instagram/Facebook|Twitter/X|Google/App Store Reviews|Amazon/Ecommerce Reviews|WhatsApp Business,Very important,Real-time dashboard with visual charts|Slack/WhatsApp alerts|AI-generated recommendations,No - not relevant,Zero - no tools,Monthly subscription,5K-15K,9150.95,Intuition/experience,Early Majority - adopt proven solutions,Trust AI insights and act on them,3.0,4.0,IT/Finance,2-3,A campaign failure,Integration complexity,No - tried but didn't work,,N/A - no current tool,Awareness|Data privacy concerns|No internal champion|ROI uncertainty,Monthly,1,38.6,Within hours,No - never,Share price/valuation impact|We didn't measure it,10.0,No - but would like to,Salesforce|Slack|Meta Ads Manager,Mildly concerned,Low - struggle with complex tools,Likely,4,17.87
RESP_0243,Agency Professional,Marketing/Creative Agency,201-1000,Southeast Asia,Under 50L/<60K,25L-1Cr/30K-120K,Customer Reviews|Survey/Feedback Forms|Website/App Analytics,Google Analytics/Looker Studio|HubSpot|Sprout Social/Hootsuite|Brandwatch/Meltwater|Tableau/Power BI,Influencer/Creator Marketing|Performance/Paid Advertising,ROI/Revenue Generated|Reach/Impressions|Engagement Rate|Customer Sentiment|Conversion Rate,Not aware at all,4.0,Connecting emotional data to campaign performance|Creating emotionally resonant campaigns|Personalising messaging at scale,Rarely,Yes - significantly damaged brand,Emotional Brand Score (EBS)|Predictive Mood & Crisis Alerts|Emotional Customer Segmentation,YouTube Comments|LinkedIn|Google/App Store Reviews|WhatsApp Business|Survey/Form Responses,Somewhat important,Real-time dashboard with visual charts|Raw data export (CSV/API)|AI-generated recommendations|CRM/Marketing tool integration,N/A - not an agency,10K-50K/month,Monthly subscription,50K-2L,121821.21,Data/case studies,Late Majority - wait for industry standard,Use AI as one input among many,4.0,3.0,My manager/Director,4-6,A vendor recommendation,Price/ROI justification,No - couldn't afford,,Very likely to switch,Already have a solution,Monthly,0 (no one dedicated),48.8,Within a month,Yes - minor impact,,41.0,No - but would like to,HubSpot|Meta Ads Manager|Shopify|Standalone is fine,Not concerned at all,Moderate - mixed team,Neutral,3,15.82
RESP_0244,Marketing Manager,Non-Profit/Government,51-200,Europe,50L-2Cr/60K-240K,5L-25L/6K-30K,Social Media|Customer Reviews|Survey/Feedback Forms|Ad Performance Data,Tableau/Power BI,Performance/Paid Advertising|Email/WhatsApp Marketing|SEO/Organic Growth|Community Building|PR/Earned Media,Engagement Rate|Customer Sentiment|Conversion Rate|NPS,Not aware at all,2.0,Understanding WHY customers feel the way they do|Connecting emotional data to campaign performance|Measuring brand reputation in real time,Occasionally,No - campaigns always landed well,Omnichannel Sentiment Dashboard|Predictive Mood & Crisis Alerts|Emotional Customer Segmentation,Instagram/Facebook|YouTube Comments|LinkedIn|Google/App Store Reviews|WhatsApp Business|Survey/Form Responses,Extremely important,Real-time dashboard with visual charts|Slack/WhatsApp alerts|AI-generated recommendations|CRM/Marketing tool integration,Yes - definitely interested,Above 2L/month,Monthly subscription,5K-15K,272220.23,C-suite mandate,Late Majority - wait for industry standard,Use AI as one input among many,4.0,5.0,CMO/VP,2-3,Budget review cycle,No significant barriers,No - couldn't afford,0.0,N/A - no current tool,ROI uncertainty|Already have a solution,Weekly,2-5,36.9,No process for this,No - never,Significant customer churn|Share price/valuation impact|Employee morale damage,20.0,Yes - formal process,Standalone is fine,Very concerned - hard blocker,Low - struggle with complex tools,Unlikely,2,7.56
RESP_0245,Founder/Co-Founder,SME,11-50,Europe,50L-2Cr/60K-240K,5L-25L/6K-30K,Social Media|Customer Reviews|Survey/Feedback Forms|Website/App Analytics|Ad Performance Data,Google Analytics/Looker Studio|Sprout Social/Hootsuite,SEO/Organic Growth|Community Building|PR/Earned Media,Reach/Impressions,Very aware - already use tools,,Understanding WHY customers feel the way they do|Measuring brand reputation in real time|Managing brand crisis quickly,Rarely,No - campaigns always landed well,Emotional Brand Score (EBS)|Omnichannel Sentiment Dashboard|Predictive Mood & Crisis Alerts|Campaign Emotion Optimizer|Emotional Customer Segmentation,Instagram/Facebook|Twitter/X|YouTube Comments|LinkedIn|Google/App Store Reviews|WhatsApp Business|Survey/Form Responses,Somewhat important,Weekly/Monthly automated reports|Slack/WhatsApp alerts,N/A - not an agency,10K-50K/month,Freemium,Under 5K,0.0,Peer recommendations,Early Majority - adopt proven solutions,Use AI as one input among many,2.0,,CEO/Founder,4-6,A leadership directive,Lack of leadership buy-in,No - didn't know such tools existed,3.0,Very likely to switch,Cost|Awareness|No internal champion,Weekly,0 (no one dedicated),20.0,No process for this,No - never,Significant customer churn|Employee morale damage|Long-term brand equity damage,3.0,No - but would like to,HubSpot|Salesforce|Google Data Studio/Looker|Other,Very concerned - hard blocker,High - most are comfortable,Likely,4,17.87
RESP_0246,Agency Professional,Marketing/Creative Agency,1000+,Middle East,10Cr-100Cr/1.2M-12M,Above 5Cr/600K+,Social Media|Customer Reviews|Customer Support Logs|Survey/Feedback Forms|Website/App Analytics|Ad Performance Data,Google Analytics/Looker Studio|HubSpot|Salesforce,Influencer/Creator Marketing|Performance/Paid Advertising|Content Marketing|Email/WhatsApp Marketing|Offline/BTL Marketing,ROI/Revenue Generated|Reach/Impressions|Engagement Rate|Conversion Rate|CSAT,Very aware - already use tools,1.0,Connecting emotional data to campaign performance|Creating emotionally resonant campaigns|Measuring brand reputation in real time|Justifying marketing spend to leadership,Rarely,Yes - but minor impact,Emotional Brand Score (EBS)|Predictive Mood & Crisis Alerts|Campaign Emotion Optimizer|Emotional Customer Segmentation,Instagram/Facebook|Twitter/X|YouTube Comments|Google/App Store Reviews|Amazon/Ecommerce Reviews,Somewhat important,Real-time dashboard with visual charts|Weekly/Monthly automated reports|Slack/WhatsApp alerts|Raw data export (CSV/API)|AI-generated recommendations,N/A - not an agency,1K-10K/month,Freemium,Under 5K,0.0,Trial/testing,Early Majority - adopt proven solutions,Skeptical but open,3.0,3.0,Procurement committee,2-3,A competitor doing better,Price/ROI justification,No - didn't know such tools existed,0.0,Likely,Cost,Daily,6-15,27.9,Within a week,Yes - major business impact,Employee morale damage,14.0,Yes - formal process,Zoho|Meta Ads Manager|Shopify|Standalone is fine,Very concerned - hard blocker,Very high - data-first culture,Unlikely,2,10.66
RESP_0247,Marketing Manager,D2C Brand,11-50,India-Metro,50L-2Cr/60K-240K,Under 5L/<6K,Social Media|Customer Reviews|Customer Support Logs|CRM Data,HubSpot,Performance/Paid Advertising|Email/WhatsApp Marketing|SEO/Organic Growth,ROI/Revenue Generated|Customer Sentiment|Conversion Rate,Very aware - already use tools,1.0,Identifying at-risk customers before churn|Managing brand crisis quickly,Rarely,Not sure - didn't track,Emotional Brand Score (EBS)|Omnichannel Sentiment Dashboard|Campaign Emotion Optimizer|Emotional Customer Segmentation,Twitter/X|YouTube Comments|LinkedIn|Google/App Store Reviews|Amazon/Ecommerce Reviews|Customer Support Chat/Email|Survey/Form Responses,Somewhat important,Real-time dashboard with visual charts|CRM/Marketing tool integration,N/A - not an agency,Zero - no tools,Monthly subscription,15K-50K,36116.91,Data/case studies,Early Adopter - adopt after seeing competitor success,Use AI as one input among many,3.0,5.0,Procurement committee,4-6,A specific data gap,Price/ROI justification,No - couldn't afford,4.0,Likely,Cost|Awareness|Complexity|No internal champion,Daily,2-5,58.0,Within 24 hours,No - but came close,Revenue loss,3.0,No - but would like to,Slack|Meta Ads Manager|Shopify,Somewhat concerned,Moderate - mixed team,Neutral,3,15.28
RESP_0248,Agency Professional,Enterprise/MNC,2-10,Europe,2Cr-10Cr/240K-1.2M,1Cr-5Cr/120K-600K,Social Media|Customer Support Logs|Survey/Feedback Forms|Website/App Analytics|CRM Data|Ad Performance Data,Sprout Social/Hootsuite,Influencer/Creator Marketing|Performance/Paid Advertising,Reach/Impressions|Engagement Rate|Customer Sentiment|Conversion Rate,Very aware - already use tools,4.0,Measuring brand reputation in real time|Managing brand crisis quickly,Very frequently,No - campaigns always landed well,Emotional Brand Score (EBS)|Omnichannel Sentiment Dashboard|Predictive Mood & Crisis Alerts|Emotional Customer Segmentation,Twitter/X|LinkedIn|Google/App Store Reviews|Amazon/Ecommerce Reviews|Customer Support Chat/Email|Survey/Form Responses,Extremely important,Real-time dashboard with visual charts|Weekly/Monthly automated reports|Slack/WhatsApp alerts|Raw data export (CSV/API)|AI-generated recommendations,Possibly - depends on pricing,1K-10K/month,Usage-based,15K-50K,31239.74,Peer recommendations,Early Majority - adopt proven solutions,Trust AI insights and act on them,5.0,4.0,My manager/Director,2-3,A specific data gap,Lack of leadership buy-in,Yes - Brandwatch,5.0,Likely,Complexity|No internal champion|ROI uncertainty,Weekly,2-5,54.9,Within hours,Yes - minor impact,,22.0,Yes - informally,HubSpot|Zoho|Meta Ads Manager|Shopify,Somewhat concerned,Moderate - mixed team,Very Likely,5,24.05
RESP_0249,Agency Professional,SaaS/Tech Startup,51-200,Europe,Above 100Cr/12M+,Above 5Cr/600K+,Social Media|Customer Support Logs|Survey/Feedback Forms|Website/App Analytics|Ad Performance Data,Google Analytics/Looker Studio|HubSpot|Tableau/Power BI,Influencer/Creator Marketing|Content Marketing|Community Building|Offline/BTL Marketing,ROI/Revenue Generated|Reach/Impressions|Engagement Rate|Conversion Rate|NPS,Somewhat aware,2.0,Understanding WHY customers feel the way they do|Connecting emotional data to campaign performance|Identifying at-risk customers before churn|Creating emotionally resonant campaigns|Managing brand crisis quickly,Rarely,Yes - significantly damaged brand,Omnichannel Sentiment Dashboard|Predictive Mood & Crisis Alerts|Campaign Emotion Optimizer|Emotional Customer Segmentation,Instagram/Facebook|Twitter/X|LinkedIn|Google/App Store Reviews|Customer Support Chat/Email|WhatsApp Business|Survey/Form Responses,Extremely important,Real-time dashboard with visual charts|Slack/WhatsApp alerts|Raw data export (CSV/API)|CRM/Marketing tool integration,Possibly - depends on pricing,1K-10K/month,Monthly subscription,15K-50K,30275.55,C-suite mandate,Early Adopter - adopt after seeing competitor success,Use AI as one input among many,5.0,4.0,IT/Finance,7+ with formal procurement,A vendor recommendation,Integration complexity,No - tried but didn't work,3.0,Likely,Cost|Data privacy concerns|ROI uncertainty,Monthly,2-5,31.2,No process for this,No - never,Revenue loss|Employee morale damage,25.0,No - don't believe it's measurable,HubSpot|Slack|Google Data Studio/Looker|Meta Ads Manager|Shopify,Somewhat concerned,Low - struggle with complex tools,Neutral,3,13.97
RESP_0250,Data Analyst/Marketing Analyst,D2C Brand,1000+,India-Metro,10Cr-100Cr/1.2M-12M,Under 5L/<6K,Social Media|Survey/Feedback Forms|Website/App Analytics|Ad Performance Data,Google Analytics/Looker Studio|Salesforce|Brandwatch/Meltwater,Performance/Paid Advertising|Content Marketing|Email/WhatsApp Marketing|SEO/Organic Growth,ROI/Revenue Generated|Conversion Rate,Not aware at all,5.0,Understanding WHY customers feel the way they do|Connecting emotional data to campaign performance|Creating emotionally resonant campaigns|Personalising messaging at scale,Never - we have proactive monitoring,Not sure - didn't track,Omnichannel Sentiment Dashboard|Predictive Mood & Crisis Alerts|Campaign Emotion Optimizer|Emotional Customer Segmentation,Instagram/Facebook|Twitter/X|YouTube Comments|Google/App Store Reviews,Very important,AI-generated recommendations,Possibly - depends on pricing,1K-10K/month,Freemium,Would not pay,4853.88,Data/case studies,Early Adopter - adopt after seeing competitor success,Don't trust AI recommendations,5.0,4.0,CEO/Founder,2-3,A competitor doing better,Price/ROI justification,No - tried but didn't work,0.0,Have long-term contracts,Cost,Weekly,0 (no one dedicated),24.0,No process for this,Yes - major business impact,Long-term brand equity damage,,Yes - formal process,HubSpot|Zoho|Google Data Studio/Looker|Meta Ads Manager,Mildly concerned,Very high - data-first culture,Unlikely,2,10.58
RESP_0251,Marketing Manager,D2C Brand,11-50,Southeast Asia,Above 100Cr/12M+,25L-1Cr/30K-120K,Social Media|Customer Support Logs|Survey/Feedback Forms|Website/App Analytics,Google Analytics/Looker Studio|HubSpot,Performance/Paid Advertising|Email/WhatsApp Marketing|Community Building|PR/Earned Media|Offline/BTL Marketing,Reach/Impressions|Customer Sentiment|Conversion Rate|NPS|CSAT,Slightly aware,1.0,Understanding WHY customers feel the way they do|Creating emotionally resonant campaigns|Personalising messaging at scale,Occasionally,Not sure - didn't track,Emotional Brand Score (EBS)|Omnichannel Sentiment Dashboard|Predictive Mood & Crisis Alerts|Campaign Emotion Optimizer,Instagram/Facebook|Twitter/X|YouTube Comments|LinkedIn|Google/App Store Reviews|WhatsApp Business|Survey/Form Responses,Extremely important,Real-time dashboard with visual charts|Weekly/Monthly automated reports|AI-generated recommendations|CRM/Marketing tool integration,Yes - definitely interested,10K-50K/month,Annual subscription,15K-50K,34944.96,Data/case studies,Innovator - adopt cutting-edge early,Skeptical but open,,3.0,Procurement committee,1 (just me),A specific data gap,Integration complexity,Yes - Sprout Social,3.0,Likely,ROI uncertainty,Weekly,15+,57.5,Within a week,No - never,Revenue loss|We didn't measure it,80.0,Yes - informally,Meta Ads Manager|Shopify,Somewhat concerned,Very high - data-first culture,Neutral,3,15.58
RESP_0252,Marketing Manager,SME,2-10,India-Metro,Above 100Cr/12M+,5L-25L/6K-30K,Social Media|Customer Reviews,Google Analytics/Looker Studio|Tableau/Power BI,Performance/Paid Advertising|Content Marketing|SEO/Organic Growth|Offline/BTL Marketing,Reach/Impressions|Engagement Rate|Conversion Rate|NPS,Slightly aware,4.0,Understanding WHY customers feel the way they do|Connecting emotional data to campaign performance|Identifying at-risk customers before churn|Measuring brand reputation in real time|Justifying marketing spend to leadership,Never - we have proactive monitoring,Yes - but minor impact,Omnichannel Sentiment Dashboard|Predictive Mood & Crisis Alerts|Campaign Emotion Optimizer|Emotional Customer Segmentation,Instagram/Facebook|Twitter/X|YouTube Comments|LinkedIn|Google/App Store Reviews|Amazon/Ecommerce Reviews|Customer Support Chat/Email|WhatsApp Business,Not important,Real-time dashboard with visual charts|AI-generated recommendations,No - not relevant,1K-10K/month,Monthly subscription,50K-2L,123885.47,Data/case studies,Early Majority - adopt proven solutions,Trust AI insights and act on them,3.0,4.0,IT/Finance,2-3,A competitor doing better,Team adoption resistance,No - tried but didn't work,0.0,N/A - no current tool,Cost|Awareness|Complexity|No internal champion|ROI uncertainty|Already have a solution,Monthly,6-15,69.1,Within 24 hours,No - but came close,Revenue loss|Significant customer churn|Share price/valuation impact|Long-term brand equity damage,43.0,No - but would like to,HubSpot|Slack|Meta Ads Manager,Somewhat concerned,Very low - need heavy hand-holding,Likely,4,21.27
RESP_0253,Data Analyst/Marketing Analyst,SaaS/Tech Startup,11-50,India-Tier2/3,Under 50L/<60K,Under 5L/<6K,Social Media|Customer Reviews|Customer Support Logs|Website/App Analytics|Ad Performance Data,Google Analytics/Looker Studio|Sprout Social/Hootsuite|Tableau/Power BI|Other,Influencer/Creator Marketing|Content Marketing|Email/WhatsApp Marketing|SEO/Organic Growth|Community Building,ROI/Revenue Generated|Reach/Impressions|Engagement Rate|Conversion Rate|NPS,Slightly aware,3.0,Understanding WHY customers feel the way they do|Connecting emotional data to campaign performance|Creating emotionally resonant campaigns|Measuring brand reputation in real time|Personalising messaging at scale,Rarely,No - campaigns always landed well,Emotional Brand Score (EBS)|Omnichannel Sentiment Dashboard|Predictive Mood & Crisis Alerts|Campaign Emotion Optimizer|Emotional Customer Segmentation,Instagram/Facebook|Twitter/X|YouTube Comments|LinkedIn|Google/App Store Reviews|Amazon/Ecommerce Reviews|Customer Support Chat/Email,Somewhat important,Real-time dashboard with visual charts|Weekly/Monthly automated reports|Slack/WhatsApp alerts|Raw data export (CSV/API),,Zero - no tools,Freemium,5K-15K,11282.91,Peer recommendations,Early Majority - adopt proven solutions,Don't trust AI recommendations,5.0,4.0,My manager/Director,7+ with formal procurement,A specific data gap,Data privacy/security,No - not a priority,4.0,Very likely to switch,No internal champion,Monthly,2-5,18.8,Within a week,No - but came close,Revenue loss|Significant customer churn|Employee morale damage,28.0,No - but would like to,HubSpot|Other,Mildly concerned,High - most are comfortable,Unlikely,2,11.68
RESP_0254,Marketing Manager,Enterprise/MNC,51-200,India-Metro,2Cr-10Cr/240K-1.2M,5L-25L/6K-30K,Website/App Analytics|CRM Data|Ad Performance Data,Google Analytics/Looker Studio|Brandwatch/Meltwater|Zoho CRM/Analytics,Performance/Paid Advertising|Content Marketing|PR/Earned Media,ROI/Revenue Generated|Reach/Impressions|Engagement Rate|Conversion Rate|NPS|CSAT,Slightly aware,4.0,Understanding WHY customers feel the way they do|Connecting emotional data to campaign performance|Measuring brand reputation in real time|Managing brand crisis quickly,Rarely,Yes - but minor impact,Omnichannel Sentiment Dashboard|Predictive Mood & Crisis Alerts,Instagram/Facebook|Twitter/X|LinkedIn|Google/App Store Reviews|Customer Support Chat/Email|WhatsApp Business|Survey/Form Responses,Very important,Real-time dashboard with visual charts|Raw data export (CSV/API),N/A - not an agency,1K-10K/month,Monthly subscription,15K-50K,31792.64,Trial/testing,Early Adopter - adopt after seeing competitor success,Trust AI insights and act on them,3.0,1.0,CMO/VP,7+ with formal procurement,A leadership directive,Team adoption resistance,No - not a priority,3.0,Unlikely,Cost|Awareness|No internal champion,Daily,2-5,37.2,No process for this,Yes - minor impact,Revenue loss|Share price/valuation impact|Long-term brand equity damage,7.0,No - don't believe it's measurable,HubSpot|Zoho|Slack|Meta Ads Manager|Shopify,Mildly concerned,Moderate - mixed team,Likely,4,18.44
RESP_0255,C-Suite Executive,SME,2-10,India-Tier2/3,50L-2Cr/60K-240K,Above 5Cr/600K+,Social Media|Survey/Feedback Forms|CRM Data|Ad Performance Data,Google Analytics/Looker Studio,Influencer/Creator Marketing|Performance/Paid Advertising|Content Marketing|SEO/Organic Growth,ROI/Revenue Generated|Reach/Impressions|Engagement Rate,Slightly aware,4.0,Understanding WHY customers feel the way they do|Creating emotionally resonant campaigns|Justifying marketing spend to leadership,Occasionally,Yes - significantly damaged brand,Emotional Brand Score (EBS)|Omnichannel Sentiment Dashboard|Predictive Mood & Crisis Alerts|Campaign Emotion Optimizer|Emotional Customer Segmentation,Instagram/Facebook|Twitter/X|YouTube Comments|Amazon/Ecommerce Reviews|Customer Support Chat/Email,Not important,CRM/Marketing tool integration,No - not relevant,50K-2L/month,Annual subscription,Above 2L,297921.96,Data/case studies,Early Adopter - adopt after seeing competitor success,Skeptical but open,4.0,2.0,CMO/VP,2-3,A specific data gap,Team adoption resistance,No - not a priority,1.0,N/A - no current tool,Awareness|Complexity|Data privacy concerns|ROI uncertainty,Quarterly,2-5,64.8,Within a week,No - but came close,Revenue loss,1.0,Yes - informally,HubSpot|Shopify,Somewhat concerned,High - most are comfortable,Neutral,3,15.36
RESP_0256,Brand Manager,Marketing/Creative Agency,51-200,Southeast Asia,10Cr-100Cr/1.2M-12M,Under 5L/<6K,Social Media|Customer Support Logs|Ad Performance Data,Google Analytics/Looker Studio|Brandwatch/Meltwater|Zoho CRM/Analytics,Influencer/Creator Marketing|Performance/Paid Advertising|Email/WhatsApp Marketing|Community Building|Offline/BTL Marketing,ROI/Revenue Generated|Conversion Rate,Slightly aware,4.0,Understanding WHY customers feel the way they do|Personalising messaging at scale|Justifying marketing spend to leadership,Occasionally,Yes - significantly damaged brand,Emotional Brand Score (EBS)|Omnichannel Sentiment Dashboard|Predictive Mood & Crisis Alerts|Campaign Emotion Optimizer,Instagram/Facebook|Twitter/X|YouTube Comments|Google/App Store Reviews|Amazon/Ecommerce Reviews,Somewhat important,Weekly/Monthly automated reports|Slack/WhatsApp alerts|Raw data export (CSV/API)|AI-generated recommendations,Possibly - depends on pricing,10K-50K/month,Per-brand/per-seat,15K-50K,33924.07,Data/case studies,Late Majority - wait for industry standard,Use AI as one input among many,3.0,5.0,CEO/Founder,2-3,A competitor doing better,Team adoption resistance,No - not a priority,3.0,Very likely to switch,Awareness,Monthly,6-15,65.9,No process for this,Yes - major business impact,Revenue loss|Long-term brand equity damage,16.0,Yes - informally,Salesforce|Slack|Meta Ads Manager|Shopify,Somewhat concerned,Very low - need heavy hand-holding,Likely,4,19.14
RESP_0257,Agency Professional,Marketing/Creative Agency,1000+,Middle East,50L-2Cr/60K-240K,25L-1Cr/30K-120K,Social Media|Customer Support Logs|CRM Data,Google Analytics/Looker Studio|HubSpot|Sprout Social/Hootsuite|Tableau/Power BI,Performance/Paid Advertising|SEO/Organic Growth,ROI/Revenue Generated|Reach/Impressions|Engagement Rate,Somewhat aware,2.0,Creating emotionally resonant campaigns|Measuring brand reputation in real time|Justifying marketing spend to leadership,Never - we have proactive monitoring,Yes - significantly damaged brand,Emotional Brand Score (EBS)|Omnichannel Sentiment Dashboard|Campaign Emotion Optimizer|Emotional Customer Segmentation,Instagram/Facebook|Amazon/Ecommerce Reviews|Customer Support Chat/Email|WhatsApp Business,Very important,Weekly/Monthly automated reports|Raw data export (CSV/API)|AI-generated recommendations|CRM/Marketing tool integration,No - not relevant,Above 2L/month,Annual subscription,15K-50K,31527.09,Intuition/experience,Late Majority - wait for industry standard,Trust AI insights and act on them,5.0,3.0,CMO/VP,2-3,A competitor doing better,Team adoption resistance,No - not a priority,3.0,Unlikely,Cost|Awareness|Data privacy concerns|Already have a solution,Weekly,1,69.1,Within 24 hours,Yes - minor impact,Significant customer churn,16.0,No - but would like to,HubSpot|Slack|Google Data Studio/Looker|Meta Ads Manager,Somewhat concerned,Low - struggle with complex tools,Neutral,3,12.9
RESP_0258,Digital Marketing Specialist,E-commerce Platform,51-200,Middle East,Above 100Cr/12M+,25L-1Cr/30K-120K,Social Media|Customer Reviews|Customer Support Logs|Website/App Analytics|Ad Performance Data,Google Analytics/Looker Studio,SEO/Organic Growth|Community Building|Offline/BTL Marketing,ROI/Revenue Generated|Engagement Rate|Conversion Rate|NPS,Slightly aware,5.0,Understanding WHY customers feel the way they do|Connecting emotional data to campaign performance|Justifying marketing spend to leadership|Managing brand crisis quickly,Occasionally,Yes - but minor impact,Emotional Brand Score (EBS)|Omnichannel Sentiment Dashboard|Predictive Mood & Crisis Alerts|Campaign Emotion Optimizer|Emotional Customer Segmentation,Instagram/Facebook|LinkedIn|Google/App Store Reviews|Amazon/Ecommerce Reviews|Customer Support Chat/Email|WhatsApp Business,Very important,Real-time dashboard with visual charts|Weekly/Monthly automated reports|AI-generated recommendations|CRM/Marketing tool integration,N/A - not an agency,10K-50K/month,Monthly subscription,15K-50K,32726.49,Data/case studies,Early Majority - adopt proven solutions,Use AI as one input among many,1.0,5.0,My manager/Director,2-3,A leadership directive,Price/ROI justification,No - tried but didn't work,,Unlikely,Awareness|No internal champion,Rarely/Never,1,32.1,No process for this,No - never,Significant customer churn|Long-term brand equity damage|We didn't measure it,10.0,Yes - informally,HubSpot|Slack,Somewhat concerned,Very high - data-first culture,Neutral,3,13.43
RESP_0259,Brand Manager,FMCG/CPG,11-50,North America,2Cr-10Cr/240K-1.2M,1Cr-5Cr/120K-600K,Social Media|Customer Reviews|Survey/Feedback Forms|Website/App Analytics|Ad Performance Data,Google Analytics/Looker Studio|Brandwatch/Meltwater|Zoho CRM/Analytics,Performance/Paid Advertising|Content Marketing|Email/WhatsApp Marketing,ROI/Revenue Generated|Engagement Rate|Conversion Rate,Slightly aware,1.0,Understanding WHY customers feel the way they do|Connecting emotional data to campaign performance|Measuring brand reputation in real time|Managing brand crisis quickly,Very frequently,Not sure - didn't track,Omnichannel Sentiment Dashboard|Campaign Emotion Optimizer|Emotional Customer Segmentation,Twitter/X|Customer Support Chat/Email|WhatsApp Business|Survey/Form Responses,Extremely important,Weekly/Monthly automated reports|AI-generated recommendations|CRM/Marketing tool integration,N/A - not an agency,1K-10K/month,Monthly subscription,Under 5K,5564.09,Peer recommendations,Early Adopter - adopt after seeing competitor success,Skeptical but open,2.0,4.0,CEO/Founder,2-3,A vendor recommendation,Price/ROI justification,No - tried but didn't work,5.0,Likely,Cost|ROI uncertainty|Already have a solution,Daily,6-15,70.5,Within a week,Yes - minor impact,Revenue loss|Share price/valuation impact|Employee morale damage|Long-term brand equity damage,13.0,Yes - informally,Zoho|Meta Ads Manager|Standalone is fine,Very concerned - hard blocker,High - most are comfortable,Neutral,3,14.6
